label,waist_mean,waist_max,waist_min,l_thigh_mean,l_thigh_max,r_thigh_mean,r_thigh_max,waist_omega_mean,waist_omega_max,waist_omega_min,l_thigh_omega_mean,l_thigh_omega_max,l_thigh_omega_min,r_thigh_omega_mean,r_thigh_omega_max,r_thigh_omega_min,thigh_mean_diff
standing,0.30475332769682,0.340989570246677,0.244912261293251,0.214889750400238,0.305602577855794,0.802720943076675,0.835479561415411,-0.218614134730102,0.294671150104048,-0.830687507302062,1.00735637813541,1.48260908328372,0.346761693259129,0.321644067433287,0.70441011112753,-0.0971688954522716,0.587831192676437
standing,0.281395888262868,0.319541849588646,0.236473394778386,0.259534768154678,0.324781172067482,0.816231244268001,0.835479561415411,-0.494356015791878,-0.001125321222099,-0.93510198878777,1.05222125453261,1.48260908328372,0.649923940552157,0.3270624555382,0.70441011112753,-0.108975962672282,0.556696476113323
standing,0.26657136425703,0.311340873554457,0.236473394778386,0.293605978563662,0.336053626274918,0.828437571482602,0.854726320077489,-0.475386647615718,0.169542021069386,-0.93510198878777,0.914882540837426,1.48260908328372,0.397242611953853,0.294276636125171,0.70441011112753,-0.108975962672282,0.53483159291894
standing,0.2567570721862,0.282589319208853,0.236473394778386,0.322098220959332,0.37326098487754,0.84982454125079,0.92269100934945,-0.311380380501166,0.508445498359142,-0.93510198878777,0.703214021247412,0.981586978287112,0.397242611953853,0.397547419348297,1.29721927808679,-0.108975962672282,0.5277263202914579
standing,0.261481196798432,0.295970888883048,0.236473394778386,0.345826823530443,0.380265817342845,0.885886346947296,0.997495185806869,-0.0746844518992775,0.508445498359142,-0.93510198878777,0.605331708076966,0.872337090502767,0.397242611953853,0.672388099006601,1.60765700042781,-0.108975962672282,0.540059523416853
standing,0.278743442820119,0.31351846738005,0.250323531502261,0.363349520427754,0.393414945040696,0.928645983601801,0.997495185806869,0.248576121125825,0.560923457848316,-0.402985810713329,0.501320149092785,0.649923940552157,0.247339426381592,0.919783192259166,1.60765700042781,-0.108975962672282,0.5652964631740469
standing,0.295328924863868,0.327026601816314,0.258386596999514,0.375048349146071,0.393414945040696,0.966431672726043,1.02562665785753,0.397469816891219,0.560923457848316,0.169542021069386,0.359576308412882,0.631163941666679,-0.0831162596112344,0.940162950379196,1.60765700042781,0.0740679221046029,0.591383323579972
standing,0.307517103028517,0.327946287227306,0.268726576075267,0.379648395269551,0.398102286186443,1.00938567056922,1.11403449821138,0.338245198497266,0.560923457848316,-0.0009143060022996,0.193361401558342,0.631163941666679,-0.428494812181528,0.956234313837681,1.70310602947073,0.0740679221046029,0.6297372752996688
standing,0.312209915389111,0.327946287227306,0.299418025384483,0.365278337451182,0.398102286186443,1.05695623455531,1.2100228839509,0.189512936431013,0.560923457848316,-0.354048697940223,-0.126432916240956,0.551160628454744,-1.1436543888726,1.09694334111733,2.32913515698085,0.0740679221046029,0.6916778971041281
standing,0.325376281564241,0.392079122232104,0.299418025384483,0.336526175738819,0.398102286186443,1.13339533799311,1.33718469530982,0.208429764174712,0.986441135858752,-0.354048697940223,-0.535971368102582,0.158207263260864,-1.52034705126965,1.50800191886571,2.85852834474173,0.0740679221046029,0.7968691622542912
standing,0.351458531511413,0.427168503154064,0.299418025384483,0.290464982257788,0.398102286186443,1.23007020305454,1.41196419600568,0.471475819754307,1.58339148211817,-0.354048697940223,-0.920215614145162,0.158207263260864,-1.59885881314052,2.11957165880992,2.85852834474173,0.34601754047805,0.939605220796752
standing,0.372354913396721,0.427168503154064,0.299418025384483,0.225975716386507,0.32434341213964,1.32723372424013,1.47815790796409,0.569312593411065,1.58339148211817,-0.354048697940223,-1.31956960137565,-0.551796329941197,-1.80315122369177,2.36450811063485,2.85852834474173,1.70310602947073,1.101258007853623
standing,0.383592172515863,0.427168503154064,0.3012443625434,0.161095155262897,0.306081416929722,1.40109768281712,1.47815790796409,0.391048391311262,1.58339148211817,-1.43918201060735,-1.57609946382903,-1.1436543888726,-2.02240522179098,2.10651962989434,2.85852834474173,0.569808939661376,1.240002527554223
standing,0.361479643081638,0.427168503154064,0.26155850144724,0.0929389231792577,0.203485807568192,1.44586998054356,1.5042754411916,-0.143580895285247,1.58339148211817,-1.73666554444731,-1.68691702109203,-1.38742582110194,-2.02240522179098,1.48451509702741,2.79441354147701,0.113758651080386,1.3529310573643023
standing,0.323231676330163,0.417227158021746,0.26155850144724,0.0424095471618053,0.179682578339516,1.48219453546731,1.5402064449554,-0.763710653848652,1.20184097270891,-1.73666554444731,-1.52152357977267,-0.306296622494429,-2.02240522179098,1.02387502770023,2.38723050221874,0.113758651080386,1.4397849883055047
standing,0.291328349374051,0.377883521783772,0.26155850144724,0.0109983001819007,0.0899748910674632,1.52147866853853,1.719183944242,-0.885865546681954,0.185032214723106,-1.73666554444731,-1.10834113621787,0.482123906759958,-2.02240522179098,0.965144767161464,2.73815921175901,0.113758651080386,1.5104803683566292
standing,0.273201933469466,0.3012443625434,0.26155850144724,0.0123073970587456,0.0915846845565085,1.60939081437384,1.86678605106637,-0.636989931168317,0.185032214723106,-1.73666554444731,-0.439005830720307,1.20419490895499,-2.02240522179098,1.61320033705596,4.09708374222235,0.113758651080386,1.5970834173150945
standing,0.283313397126433,0.326055213955613,0.264988308074223,0.0421258340502845,0.147390186852817,1.73365101212774,2.03490970716092,-0.109693422240627,0.748580534957551,-1.42707406984869,0.368244561244788,1.60000126986347,-1.38742582110194,2.61876650315418,4.51767472241463,0.353183609174505,1.6915251780774554
standing,0.29462860132119,0.326055213955613,0.265279582391983,0.0928725927445115,0.213551084995821,1.88811569177025,2.19001126108287,0.251535138921033,0.748580534957551,-0.275179551587815,0.952608515021373,1.60000126986347,-0.306296622494429,3.32459074703649,4.51767472241463,1.25145976495734,1.7952430990257384
standing,0.285641624524553,0.326055213955613,0.197064206983313,0.16943998193129,0.387393473485425,2.06062001181905,2.4836373717749,-0.0081778232263662,0.748580534957551,-1.60369997402063,1.50689082163669,2.66524295123536,0.78774616381609,3.86435925404006,4.91300272153652,2.73815921175901,1.89118002988776
standing,0.259459696119254,0.326055213955613,0.160299658147281,0.271488307065871,0.524934331410151,2.26138478799611,2.70873838477804,-0.440820409942496,0.748580534957551,-2.01180915631557,2.1257640603516,3.80249995525853,1.17397363460125,4.3933064092506,6.52283167170922,3.41380767359006,1.989896480930239
standing,0.238996758908348,0.326055213955613,0.160299658147281,0.410167255789103,0.789952702802466,2.49669647746264,3.05193576928509,-0.537846113248854,0.748580534957551,-2.01180915631557,2.83018586186172,4.94254950455647,1.17397363460125,5.12125167690596,7.1615527169738,3.41380767359006,2.086529221673537
standing,0.226428846173761,0.280227793530685,0.160299658147281,0.626081090902657,1.32571091865466,2.75942082675472,3.2846193579778,-0.358013656941232,1.49519171741961,-2.01180915631557,4.24501149244516,9.28132419060376,1.51788168569417,6.00123339215817,7.21596918700589,3.41380767359006,2.1333397358520627
standing,0.209027261529951,0.280227793530685,0.103297727537381,0.979106151708642,2.21430312263445,3.05230884103791,3.57372673512668,-0.315054301813405,1.49519171741961,-2.21323264113232,6.8046697244473,16.2955875397011,3.14325268469962,6.69953306385478,7.21596918700589,4.91300272153652,2.073202689329268
standing,0.17217775142905,0.280227793530685,-0.0257223446117507,1.49033969000882,2.77844119775705,3.30282932502965,3.62439543139061,-0.622558692430578,1.49519171741961,-3.15944794438868,10.3423862757209,18.0390313309406,3.9905984473377,6.40038668211156,7.21596918700589,2.86383361491704,1.81248963502083
standing,0.0877527749180032,0.280227793530685,-0.15196279059171,2.06880009485238,3.03237589473626,3.48508688697771,3.66352669207974,-1.46088149490968,1.49519171741961,-3.32280904515863,13.3112893493077,18.0390313309406,4.94254950455647,5.07011567223741,7.21596918700589,1.07346317512749,1.4162867921253297
standing,-0.0267833294340896,0.224573035865632,-0.206582254476857,2.59100575631315,3.20613741999369,3.57241609674578,3.66630048565564,-2.35581840382149,0.300329112444763,-3.32280904515863,13.3248513898323,18.0390313309406,5.37210366455661,3.05839153925658,6.9593969774091,-2.7373822788156,0.98141034043263
standing,-0.108543823810052,0.103297727537381,-0.206582254476857,2.95813059117559,3.24083136493178,3.47523830965972,3.66630048565564,-2.2555931979958,0.344328155988454,-3.32280904515863,10.686566096861,18.0390313309406,1.3057232046453,-0.355408792612726,5.63546801746049,-7.88522431656954,0.5171077184841302
standing,-0.140270886707313,-0.0779013105134254,-0.206582254476857,3.22176413017175,3.62376939852955,3.39843854665155,3.66630048565564,-1.22478292643788,1.3862549830277,-3.32280904515863,7.60143727536651,17.2952281300453,1.3057232046453,-2.02521237725021,3.50493586136752,-7.88522431656954,0.17667441647979976
standing,-0.140284569767294,-0.0942129278939348,-0.206582254476857,3.35139714599705,3.62376939852955,3.33972040807142,3.66630048565564,-0.30452684970631,1.3862549830277,-3.2066183568019,4.54183160263212,10.682655395876,1.3057232046453,-1.49300179358905,4.92390674820744,-7.88522431656954,0.011676737925629954
standing,-0.121790090890983,-0.0942129278939348,-0.205815039281106,3.44289179164114,3.62376939852955,3.29377382083982,3.41068664784538,0.240875893002185,1.3862549830277,-1.5937548351245,2.54986054142705,5.67703113605007,-1.45756303847389,-1.25804095330886,4.92390674820744,-7.88522431656954,0.14911797080132017
